Variable;Valeur
GVL_Troubleshooting.BenneOuvertureFermeture.Idx301_EmergencyChainClosed;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx302_BucketFaultActive;TRUE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx303_KoboldAutoStopEnabled;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx304_KoboldImmersionConfirmed;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx305_KoboldBottomTouchLatched;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx306_ErrorIdRaw;WORD#16
GVL_Troubleshooting.BenneOuvertureFermeture.Idx401_BucketBusy;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx402_BucketDone;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx403_ControlAscentActive;FALSE
GVL_Troubleshooting.BenneOuvertureFermeture.Idx501_M2_CmdRev_DQ;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx101_PosTremie_DI;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx102_PosPV_DI;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx103_PosP2_DI;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx104_PosP1_DI;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx105_PosMaintenance_DI;FALSE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx106_DriveActualFreq_Hz;REAL#0
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx107_DriveStatusWord;WORD#0
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx108_BrakeApplied;TRUE
GVL_Troubleshooting.TranslationPontM3.Inputs_100.Idx109_DriveThermalOk;FALSE
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx201_JoyXRaw_ANA;INT#0
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx202_JoyXScaled_Pct;REAL#0
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx203_HmiCmd_BtnFwd;FALSE
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx204_HmiCmd_BtnRev;FALSE
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx205_HmiTargetPosition;INT#0
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx206_CycleTargetPosition;INT#0
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx207_ModeActive;E_Mode.DISABLE
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx208_BypassNetworkActive;FALSE
GVL_Troubleshooting.TranslationPontM3.Demandes_200.Idx209_ArbitratedSpeed_Pct;REAL#0
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx301_EmergencyChainClosed;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx302_SafeStopActive;TRUE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx303_PowerCutOffActive;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx304_LimitSwitchFwdActive;TRUE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx305_LimitSwitchRevActive;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx306_BypassLimitSwitch;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx307_PositionDecoderIncoherent;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx308_HeightInterlockBlocking;TRUE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx309_ErrorOperatorComm;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx310_ErrorDriveComm;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx311_ErrorPhaseRotation;FALSE
