fichier,ligne,index,libelle,garde,est_formateur
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1160,AlarmCount,'[HISTO] [M2] ErrorID:03 - surchauffe moteur',(HistoM2 AND 16#0004) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1163,AlarmCount,'[HISTO] [M2] ErrorID:04 - mou de cable',(HistoM2 AND 16#0008) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1166,AlarmCount,'[HISTO] [M2] ErrorID:05 - rotation phases',(HistoM2 AND 16#0010) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1169,AlarmCount,'[HISTO] [M2] ErrorID:08 - MecaA - deplacement sans commande',(HistoM2 AND 16#0080) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1172,AlarmCount,'[HISTO] [M2] ErrorID:09 - MecaB - arret non confirme apres stop',(HistoM2 AND 16#0100) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1175,AlarmCount,'[HISTO] [M2] ErrorID:10 - MecaC - glissement pendant benne figee',(HistoM2 AND 16#0200) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1178,AlarmCount,'[HISTO] [M2] ErrorID:11 - surchauffe frein',(HistoM2 AND 16#0400) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1181,AlarmCount,'[HISTO] [M2] ErrorID:12 - MecaD - non-arret au capteur haut',(HistoM2 AND 16#0800) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1184,AlarmCount,'[HISTO] [M2] ErrorID:13 - MecaE - ecart synchro M1/M2 critique',(HistoM2 AND 16#1000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1187,AlarmCount,'[HISTO] [M2] ErrorID:15 - sens oppose',(HistoM2 AND 16#4000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1190,AlarmCount,'[HISTO] [M2] ErrorID:16 - absence mouvement',(HistoM2 AND 16#8000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1195,AlarmCount,'[HISTO] [M3] ErrorID:01 - perte com operateur',(HistoM3 AND 16#0001) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1198,AlarmCount,'[HISTO] [M3] ErrorID:02 - perte EtherCAT',(HistoM3 AND 16#0002) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1201,AlarmCount,'[HISTO] [M3] ErrorID:03 - rotation phases',(HistoM3 AND 16#0004) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
