Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
15152;0;1;0;1;1;1;2200;141;0;0;1;0;0;0;0
15266;0;1;0;1;1;1;1937;141;0;0;1;0;0;0;0
15362;0;1;0;1;1;1;1675;141;0;0;1;0;0;0;0
15453;0;1;0;1;1;1;1465;141;0;0;1;0;0;0;0
15562;0;1;0;1;1;1;1202;141;0;0;1;0;0;0;0
15654;0;1;0;1;1;1;992;141;0;0;1;0;0;0;0
15751;0;1;0;1;1;1;727;141;0;0;1;0;0;0;0
15868;0;1;0;1;1;1;414;141;0;0;1;0;0;0;0
15963;0;1;0;1;1;1;207;141;0;0;1;0;0;0;0
16037;0;1;0;1;1;1;60;141;0;0;1;0;0;0;0
16163;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16251;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16365;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16462;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16566;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16664;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16752;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16852;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
16954;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
17064;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
17169;0;1;0;1;1;0;0;137;0;0;1;0;0;0;0
17266;0;1;0;1;1;1;0;131;620;1;1;0;0;0;0
17364;0;1;0;1;1;1;49;131;800;1;1;0;0;0;0
17466;0;1;0;1;1;1;276;131;1000;1;1;0;0;0;0
17564;0;1;0;1;1;1;553;131;1200;1;1;0;0;0;0
17663;0;1;0;1;1;1;901;131;1400;1;1;0;0;0;0
17753;0;1;0;1;1;1;1208;131;1580;1;1;0;0;0;0
17865;0;1;0;1;1;1;1469;131;1800;1;1;0;0;0;0
17953;0;1;0;1;1;1;1657;131;1980;1;1;0;0;0;0
18064;0;1;0;1;1;1;1879;131;2200;1;1;0;0;0;0
18163;0;1;0;1;1;1;2094;131;2400;1;1;0;0;0;0
18264;0;1;0;1;1;1;2306;131;2600;1;1;0;0;0;0
18362;0;1;0;1;1;1;2516;131;2800;1;1;0;0;0;0
18454;0;1;1;1;1;1;2684;131;1000;1;1;0;0;0;0
18552;0;1;1;1;1;1;2816;133;1000;1;1;0;0;0;0
18653;0;1;1;1;1;1;2829;133;1000;1;1;0;0;0;0
18737;0;1;1;1;1;1;2749;133;1000;1;1;0;0;0;0
18837;0;1;1;1;1;1;2545;133;1000;1;1;0;0;0;0
18952;0;1;1;1;1;1;2273;133;1000;1;1;0;0;0;0
19037;0;1;1;1;1;1;2067;133;1000;1;1;0;0;0;0
19153;0;1;1;1;1;1;1800;133;1000;1;1;0;0;0;0
19268;0;1;1;1;1;1;1485;133;1000;1;1;0;0;0;0
19364;0;1;1;1;1;1;1275;133;1000;1;1;0;0;0;0
19453;0;1;1;1;1;1;1099;133;1000;1;1;0;0;0;0
19553;0;1;1;1;1;1;1002;129;1000;1;1;0;0;0;0
19657;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
19753;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
19866;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
19962;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20064;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20165;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20265;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20354;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20462;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20552;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20652;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20752;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20852;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
20937;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21052;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21137;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21252;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21337;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21453;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21564;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21653;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21762;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21864;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
21965;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22053;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22152;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22252;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22352;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22437;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22551;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22637;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22752;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22837;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
22952;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23038;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23152;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23237;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23352;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23466;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23562;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23652;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23766;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23852;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
23952;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24052;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24152;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24252;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24337;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24437;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24553;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24637;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24752;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24837;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
24956;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25037;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25155;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25237;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25354;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25437;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25552;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25637;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25752;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25837;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
25952;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
26037;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
26151;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
26237;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
26353;0;1;1;1;1;1;1000;129;1000;1;1;0;0;0;0
26438;1;1;1;1;1;0;1000;133;0;0;1;0;0;1;64
26553;0;1;1;1;1;0;913;133;0;0;1;0;0;1;64
26637;0;1;1;1;1;0;746;133;0;0;1;0;0;1;64
26752;0;1;1;1;1;0;484;133;0;0;1;0;0;1;65
26857;0;1;1;1;1;0;223;133;0;0;1;0;0;1;65
26953;0;1;1;1;1;0;68;133;0;0;1;0;0;1;65
27056;0;1;1;1;1;0;0;129;0;0;1;0;0;1;65
27154;0;1;1;1;1;0;0;129;0;0;1;0;0;1;65
27254;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27453;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27654;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27853;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
27937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28051;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28154;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28254;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28365;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28453;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28554;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28654;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28756;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28852;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
28956;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29053;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29153;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29262;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29370;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29451;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29552;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29651;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
29963;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
